Class Title;Parent;Series;Class Description;Class Link;HLS URL;Categories
Flow with Maddie 05 (Advanced);Flows;Advanced Flows;"<div class=""html_output""> <p>This Flow  is considered advanced because itâ€™s pretty technical and uses more advanced movements. However, it should still be accessible if youâ€™re willing to put the time into it!  Master Instructor Maddie Berky demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along. Be sure to check the sample Call Out below, as well as where to find the movements if you need to review any tutorials. Remember to warm up first with your Wrist Mobilizations!</p> <p>Where to find the movements:</p> <p>Front Kickthrough â€“ L1 Tutorials Jumping Front Kickthrough â€“ Advanced/Bonus Moves Traveling Side Kickthrough â€“ Advanced/Bonus Moves Crocodile Roll â€“ L2 Tutorials Roll Through â€“ L2 Tutorials Underswitch â€“ L1 Tutorials Crab Reach â€“ L1 Tutorials Levitating Underswitch Shift â€“ Advanced/Bonus Moves Forward Traveling Crab â€“ L1 Tutorials Jumping Underswitch â€“ L1 Tutorials Traveling Underswitch â€“ Advanced/Bonus Moves Forward Traveling Bear â€“ L2 Tutorials Spinning Underswitch  - Advanced/Bonus Moves</p> <p>The Call Out for this Flow is:</p> <p>Set Loaded Beast Right Leg Front Kickthrough Jump to Left Leg Front Kickthrough Pop Back to Right Leg Reverse Traveling Side Kickthrough to Right Side Crocodile Roll to Left Leg Roll Through to Front Kickthrough Pop Back to Right Leg Underswitch to Left Arm Crab Reach Return to Crab into Right Leg Levitating Underswitch Shift to Forward Traveling Crab Right Leg Jumping Underswitch into Left Leg Front Kickthrough Pop Back to Right Leg Forward Traveling Underswitch Left Leg Underswitch to Forward Traveling Bear Right Leg Underswitch Left Leg Jumping Underswitch to Right Leg Spinning Underswitch to Loaded Beast</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order: 1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 3-4 sets. If you are unfamiliar with any of the movements, go to the Tutorial and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *Since this weekâ€™s Flow is shorter, you may want to play with tempos. Try speeding the Flow up, then slowing it down. Just remember, we can only go as fast as we can control!</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/maddie_flow_6_-_v2-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/143d23ddd1ff452cbd0fb18a7e517bb2/hls.m3u8;Advanced Flows
Flow with Maddie 06 (Intermediate);Flows;Intermediate Flows;"<div class=""html_output""> <p>This intermediate level Flow has a lot to offer.  You may even want to follow Maddie's suggestion regarding allowing it to be soft, gentle, nourishing or whatever you want to be! Master Instructor Maddie Berky demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along. Check out the sample Call Out below, as well as where to find the movements. As always, start out with your Wrist Mobilizations!</p> <p>Where to find the movements:</p> <p>Front Kickthrough â€“ L1 Tutorials Underswitch â€“ L1 Tutorials Scorpion Reach â€“ L1 Tutorials Scorpion Sweep â€“ L2 Tutorials Roll Through â€“ L2 Tutorials Crab Reach â€“ L1 Tutorials Jumping Underswitch â€“ L1 Tutorials Side Kickthrough â€“ L1 Tutorials Wave Unload â€“ L1 Tutorials Scorpion Switch â€“ L1 Tutorials Underswitch to Ape â€“ L2 Tutorials Ape Reach â€“ L1 Tutorials Reaching Underswitch â€“ L2 Tutorials Underswitch Tap â€“ L1 Tutorials</p> <p>The Call Out for this Flow is:</p> <p>Set Loaded Beast Right Leg Front Kickthrough Right Leg Underswitch to Scorpion Reach Right Leg Underswitch to Front Kickthrough Pop Back to Left Leg Scorpion Sweep Right Leg Roll Through to Left Arm Crab Reach Return to Crab into Right Leg Jumping Underswitch to Left Leg Side Kickthrough Pop Back to Loaded Beast Wave Unload Return to Loaded Beast into Left Leg Scorpion Switch Right Leg Underswitch to Ape Reach Open Right Leg Reaching Underswitch Tap to Loaded Beast</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order: 1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 3-4 sets. If you are unfamiliar with any of the movements, go to the Tutorial and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *Since this weekâ€™s Flow is shorter, you may want to play with tempos. Try speeding the Flow up, then slowing it down. Just remember, we can only go as fast as we can control!</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/maddie_flow_7_-_v1-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/06b77d1c34254a56a3550a8f5e11bf19/hls.m3u8;Intermediate Flows
Flow with Maddie 07 (Beginner);Flows;Beginner Flows;"<div class=""html_output""> <p>This beginner level Flow uses predominantly L1 movements, but adds in some fun transitions like the  Underswitch to Front Step and a slide to Side Kickthrough. Youâ€™ll also see a Levitating Underswitch, which will give you an opportunity to practice your High Hip Modified Beast or Tuck (if you have it). Master Instructor Maddie Berky demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along. Be sure to check out the Call Out below, as well as where to find the movements. As always, start out with your Wrist Mobilizations!</p> <p>Where to find the movements:</p> <p>Crab Reach â€“ L1 Tutorials Underswitch â€“ L1 Tutorials Side Kickthrough â€“ L1 Tutorials Scorpion Reach â€“ L1 Tutorials Beast Reach â€“ L1 Tutorials Front Kickthrough â€“ L1 Tutorials Full Scorpion â€“ L1 Tutorials Front Step â€“ L1 Tutorials Levitating Underswitch - L3 Tutorials</p> <p>The Call Out:</p> <p>Set Crab Right Arm Crab Reach Return to Crab into Left Leg Underswitch Right Leg Side Kickthrough Pop Back to Loaded Beast Left Leg Scorpion Reach Left Leg Beast Reach Return to Loaded Beast Right Leg Front Kickthrough Right Leg Full Scorpion Left Leg Underswitch to Front Step Slide to Left Leg Side Kickthrough Left Leg Levitating Underswitch</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order:</p> <p>1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 2-3 sets. If you are unfamiliar with any of the movements, go to the Tutorial section and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *We would suggest 20-25 minutes for practicing the entire Flow.</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/maddie_flow_5_-_beginner_-_v1-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/01067ddd53d14085bd2310c4d25ae536/hls.m3u8;Beginner Flows
Flow with Maddie 08 (Advanced);Flows;Advanced Flows;"<div class=""html_output""> <p>This advanced level Flow from Master Instructor Maddie Berky  is all about spinning and using Ape as an anchor point. This Flow opens up with three super unique ways to get into ape that you may not have tried before. Maddie first demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along. Be sure to check the Call Out below, as well as where to find the movements. As always, begin with your Wrist Mobilizations!</p> <p>Where to find the movements:</p> <p>Reaching Underswitch â€“ L2 Tutorials Underswitch to Ape â€“ L2 Tutorials Roll Through â€“ L2 Tutorials Rotating Ape â€“ L3 Tutorials Front Sweep â€“ L3 Tutorials Crocodile Roll â€“ L2 Tutorials Front Step â€“ L1 Tutorials Underswitch â€“ L1 Tutorials Forward Traveling Bear â€“ L2 Tutorials Jumping Underswitch â€“ L1 Tutorials Scorpion Sweep â€“ L2 Tutorials</p> <p>The Call Out</p> <p>Set Ape Right Leg Reaching Underswitch to Ape Right Leg Reverse Reaching Underswitch to Ape Right Leg Roll Through to Ape Right Side Rotating Ape into Right Leg Front Sweep to Right Side Crocodile Roll to Left Leg Roll Through to Right Leg Front Step Left Leg Underswitch Right Leg Underswitch into Forward Traveling Bear (2 strides) Right Leg Underswitch Left Leg Jumping Underswitch into Right Leg Scorpion Sweep</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order:</p> <p>1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 2-3 sets. If you are unfamiliar with any of the movements, go to the Tutorial section and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *We would suggest 20-25 minutes for practicing the entire Flow.</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer</p> </div>";https://ondemand.animalflow.com/assets/maddie_flow_8_-__v1-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/8243db96ece84f668f1fafe0244c3094/hls.m3u8;Advanced Flows
Flow with Michael P 01 (Intermediate);Flows;Intermediate Flows;"<div class=""html_output""> <p>This Intermediate level Flow is our first Flow of the Week from Master Instructor Michael Palser. We love watching Michael flow, as he really demonstrates how big guys can be fluid or graceful. Michael demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along.  Be sure to check out the sample Call Out below as well as where to find the movement Tutorials. As always, start out with your Wrist Mobilizations first!</p> <p>Where to find the movements:</p> <p>Reaching Underswitch â€“ L2 Tutorials Full Scorpion â€“ L1 Tutorials Underswitch to Ape â€“ L2 Tutorials Crocodile Roll â€“ L2 Tutorials Ape Reach â€“ L1 Tutorials Crab Reach â€“ L1 Tutorials Jumping Underswitch â€“ L1 Tutorials Underswitch Tap â€“ L1 Tutorials</p> <p>The Call Out for this Flow is:</p> <p>Set Ape Left Leg Reaching Underswitch Right Leg Full Scorpion Left Leg Underswitch to Ape Right Leg Reaching Underswitch into Right Side Crocodile Roll to Pop Back to Ape Reach Open Left Leg Reaching Underswitch into Right Arm Crab Reach Return to Crab into Left Leg Jumping Underswitch Tap to Ape</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order: 1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 3-4 sets. If you are unfamiliar with any of the movements, go to the Tutorial and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *Since this weekâ€™s Flow is shorter, you may want to play with tempos. Try speeding the Flow up, then slowing it down. Just remember, we can only go as fast as we can control!</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/michael_flow_1_-_intermediate-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/21364f1853a942a09912d8e7899ed411/hls.m3u8;Intermediate Flows
Flow with Michael P 02 (Beginner);Flows;Beginner Flows;"<div class=""html_output""> <p>This beginner level Flow is dynamic and powerful that uses only L1 movements. Be sure to give this one a shot even if you consider yourself a more advanced flowist!  Master Instructor Michael P demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along.  Be sure to check out the Tutorials section for any movements you don't know. As always, start out with your Wrist Mobilizations!</p> <p>Where to find the movements:</p> <p>Underswitch Tap â€“ L1 Tutorials Underswitch â€“ L1 Tutorials Jumping Underswitch â€“ L1 Tutorials Side Kickthrough â€“ L1 Tutorials Full Scorpion â€“ L1 Tutorials Front Step â€“ L1 Tutorials Crab Reach â€“ L1 Tutorials Wave Unload â€“ L1 Tutorials Scorpion Switch â€“ L1 Tutorials</p> <p>The Call Out for this Flow is:</p> <p>Set Beast Right Leg Underswitch Tap Left Leg Underswitch Right Leg Jumping Underswitch into Left Leg Side Kickthrough Left Leg Full Scorpion Right Leg Underswitch to Front Step Left Leg Underswitch into Right Arm Crab Reach Return to Crab into Left Leg Underswitch to Loaded Beast Wave Unload Return to Right Leg Scorpion Switch Left Leg Underswitch</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order: 1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 3-4 sets. If you are unfamiliar with any of the movements, go to the Tutorial and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *Since this weekâ€™s Flow is shorter, you may want to play with tempos. Try speeding the Flow up, then slowing it down. Just remember, we can only go as fast as we can control!</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/michael_flow_2_-_beginner_-_v3-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/c64872f2ba8d4d01bc1020711c0e4c18/hls.m3u8;Beginner Flows
Flow with Michael P 03 (Beginner);Flows;Beginner Flows;"<div class=""html_output""> <p>This beginner level Flow gives you a lot of opportunity to play with how tempo can change your Flow.  Master Instructor Michael Palser demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along.  Check out the Tutorials section for any movements you don't know. As always, warm up with your Wrist Mobilization before starting your practice.</p> <p>Where to find the movements:</p> <p>Underswitch to Ape â€“ L2 Tutorials Reaching Underswitch â€“ L2 Tutorials Underswitch â€“ L1 Tutorials Side Kickthrough â€“ L1 Tutorials Front Kickthrough â€“ L1 Tutorials Crab Reach â€“ L1 Tutorials Full Scorpion â€“ L1 Tutorials</p> <p>The Call Out for this Flow would be:</p> <p>Set Crab Left Leg Underswitch to Ape Right Leg Reaching Underswitch Left Leg Underswitch Right Leg Side Kickthrough Right Leg Underswitch to Loaded Beast Left Leg Front Kickthrough Jump to Right Leg Front Kickthrough Pop Back to Left Leg Underswitch to Right Arm Crab Reach Return to Crab into Left Leg Full Scorpion Jump to Left Leg Front Kickthrough Pop Back to Ape</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order:</p> <p>1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 2-3 sets. If you are unfamiliar with any of the movements, go to the Tutorial section and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *We would suggest 20-25 minutes for practicing the entire Flow.</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/michael_flow_3_-_beginner_-_v2-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/b9a1b18939534e42b4998c2b2ca352f4/hls.m3u8;Beginner Flows
Flow with Michael P 04 (Advanced);Flows;Advanced Flows;"<div class=""html_output""> <p>This advanced Flow has some really fun sequences and some super tricky transitions, including a Rotating Crab to Crocodile Roll. You'll also find plenty of opportunities to practice your Traveling Undersiwtches. Master Instructor Michael Palser demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along. Be sure to check the sample Call Out below, as well as where to find the tutorials for each movement that you don't know.  Remember to start out with your Wrist Mobilizations!</p> <p>Where to find the movements:</p> <p>Jumping Underswitch â€“ L1 Tutorials Crab Reach â€“ L1 Tutorials Underswitch â€“ L1 Tutorials Scorpion Reach â€“ L1 Tutorials Traveling Underswitch â€“ Advanced/Bonus Moves Side Kickthrough â€“ L1 Tutorials Rotating Crab â€“ Advanced/Bonus Moves Crocodile Roll â€“ L2 Tutorials Pop Out â€“ L2 Tutorials</p> <p>The Call Out for this Flow would be:</p> <p>Set Crab Right Leg Jumping Underswitch into Right Arm Crab Reach Return to Crab into Left Leg Underswitch to Scorpion Reach Left Leg Reverse Traveling Underswitch Right Leg Forward Traveling Underswitch Left Leg SKT Left Side Rotating Crab into Right Side Crocodile Roll Open the Gap Pop Back to Left Leg Forward Traveling Underswitch Right Leg Forward traveling Underswitch Left Leg Side Kickthrough into Left Side Pop Out to Crab</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order: 1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 3-4 sets. If you are unfamiliar with any of the movements, go to the Tutorial and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *Since this weekâ€™s Flow is shorter, you may want to play with tempos. Try speeding the Flow up, then slowing it down. Just remember, we can only go as fast as we can control!</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/michael_flow_5_adv_-_v2-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/1ded54c4cd254ce5b60e23e7cf57f328/hls.m3u8;Advanced Flows
Flow with Michael P 05 (Beginner);Flows;Beginner Flows;"<div class=""html_output""> <p>This beginner level Flow has some really transitions, that push it a little bit towards intermediate territory.  Regardless of whether youâ€™re an advanced Flowist or brand new to AF, youâ€™ll definitely want to give this one a shot. Master Instructor Michael Palser demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along.  Be sure to check the sample Call Out below as well as where to find the movements if you need help with any of them. As always, start out with your Wrist Mobilizations.</p> <p>Where to find the movements:</p> <p>Reaching Underswitch â€“ L2 Tutorials Crab Reach â€“ L1 Tutorials Full Scorpion â€“ L1 Tutorials Underswitch â€“ L1 Tutorials Front Step â€“ L1 Tutorials Scorpion Switch â€“ L1 Tutorials Side Kickthrough â€“ L1 Tutorials Levitating Side Kickthrough â€“ L1 Tutorials Scorpion Reach â€“ L1 Tutorials Jumping Underswitch â€“ L1 Tutorials Underswitch Tap â€“ L1 Tutorials Underswitch to Ape â€“ L2 Tutorials</p> <p>The Call Out for this Flow would be:</p> <p>Set Ape Right Leg Reaching Underswitch (fake) Left Leg Reaching Underswitch into Right Arm Crab Reach Return to Crab into Left Leg Full Scorpion Right Leg Underswitch to Left Leg Front Step Pop Switch Left Leg Scorpion Switch Levitate to Left Leg Side Kickthrough Left Leg Underswitch to Scorpion Reach Continue the switch Right Leg Jumping Underswitch Tap to Ape</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order: 1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 3-4 sets. If you are unfamiliar with any of the movements, go to the Tutorial and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *Since this weekâ€™s Flow is shorter, you may want to play with tempos. Try speeding the Flow up, then slowing it down. Just remember, we can only go as fast as we can control!</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/michael_flow_6_-_beg_-_v1-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/cd8b483ad752464ba62d851d508991af/hls.m3u8;Beginner Flows
Flow with Michael P 06 (Intermediate);Flows;Intermediate Flows;"<div class=""html_output""> <p>This intermediate level Flow includes our â€śpopâ€ť call out in three different transitions, including pop back to Crocodile and pop (forward) into an Underswitch. (In the AF language, â€śpopâ€ť is used to signify a hopping or jumping motion). Master Instructor Michael Palser demonstrates the Flow once to each side and then calls it out through 4 rounds so you can follow along. Check out the Call Out below as well as where to find the tutorials for each movement. As always, start out with your Wrist Mobilizations.</p> <p>Where to find the movements</p> <p>Side Kickthrough â€“ L1 Tutorials Underswitch â€“ L1 Tutorials Full Scorpion â€“ L1 Tutorials Underswitch to Ape â€“ L2 Tutorials Reaching Underswitch â€“ L2 Tutorials Crocodile Roll â€“ L2 Tutorials Front Step â€“ L1 Tutorials Front Kickthrough â€“ L1 Tutorials Crocodile Crawl â€“ L2 Tutorials Reverse Reaching Underswitch â€“ L3 Tutorials</p> <p>Call Out</p> <p>Set Beast Right Leg Side Kickthrough Pop Back to Left Leg Underswitch Right Leg Full Scorpion Left Leg Underswitch to Ape Right Leg Reaching Underswitch into Right Side Crocodile Roll to Left Leg Front Step Set Loaded Beast Right Leg Front Kickthrough Pop Back to Crocodile (right side closed) Pop to Right Leg Underswitch Left Leg Underswitch to Ape Right Leg Reverse Reaching Underswitch</p> <p>If you plan on using this Flow as your workout, we recommend doing it in this order: 1- Begin with the short or long duration Wrist Mobilizations video in the Level 1 tutorial section and follow along.</p> <p>2- Perform 10-15 repetitions of each movement for 3-4 sets. If you are unfamiliar with any of the movements, go to the Tutorial and follow along before performing the previously suggested sets and reps.</p> <p>3- Watch this weekâ€™s Flow and practice along.</p> <p>4- Once you feel comfortable with the Flow, continue to practice, alternating between sides for your determined workout duration. *Since this weekâ€™s Flow is shorter, you may want to play with tempos. Try speeding the Flow up, then slowing it down. Just remember, we can only go as fast as we can control!</p> <p>5- Leave at least 3-5 minutes for an additional round of Wrist Mobilizations.</p> <p>Animal Flow On Demand is intended for your personal use.  If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops.  If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer:  You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury.  You should be in a physical condition that enables you to participate in the exercise.  Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/michael_flow_4_-_int_-_v2-1080p;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/42c029e39eef430b873fa6018804c80a/hls.m3u8;Intermediate Flows
