"tmdb","trakt","watched_at","season","episode","episode_title","show_title"
"2357673","2807134","2021-07-11T14:35:49.000Z","1","1","A Murder in Beverly Hills","The Menendez Murders: Erik Tells All"
"63192","73775","2021-07-10T18:53:07.000Z","6","3","The Pledge Drive","Seinfeld"
"63189","73772","2021-07-10T18:23:43.000Z","5","22","The Opposite","Seinfeld"
"3055631","5229397","2021-07-10T14:47:11.000Z","1","5","Point and Pump","The Cube"
"3055630","5229396","2021-07-10T13:30:21.000Z","1","4","50-Thousand-Dollar Finger","The Cube"
"3011739","5229395","2021-07-10T12:41:54.000Z","1","3","This Game's Got Me","The Cube"
"3011738","5218646","2021-07-10T11:42:14.000Z","1","2","Talk to Me Nice","The Cube"
"2895052","5200821","2021-07-09T20:18:46.000Z","1","1","The World's Toughest Gameshow","The Cube"
"63176","73759","2021-07-09T17:33:58.000Z","5","9","The Masseuse","Seinfeld"
"63133","73716","2021-07-09T10:55:25.000Z","3","13","The Subway","Seinfeld"
"63140","73723","2021-07-09T09:43:14.000Z","3","20","The Good Samaritan","Seinfeld"
"63256","73838","2021-07-08T21:25:06.000Z","8","18","The Nap","Seinfeld"
"63264","73846","2021-06-30T20:45:25.000Z","9","4","The Blood","Seinfeld"
"3042448","5255627","2021-06-29T21:25:37.000Z","4","2","Episode 2","The Shop: Uninterrupted"
"","4094412","2021-06-22T14:10:56.000Z","80","11","Lighting: Enhancing Your Space","MasterClass"
"","4094405","2021-06-22T13:59:32.000Z","80","4","Working With Space","MasterClass"
"","4091677","2021-06-22T13:46:54.000Z","80","2","Sources of Inspiration","MasterClass"
"","3945355","2021-06-22T13:35:37.000Z","46","17","Light Chicken Stock","MasterClass"
"","3945359","2021-06-22T13:30:52.000Z","46","21","Brown Chicken Quick Sauce and Sauce Chasseur","MasterClass"
"1916846","3942532","2021-06-22T13:14:09.000Z","2","9","Captivating An Audience","MasterClass"
"2016120","5108097","2021-06-21T16:23:43.000Z","0","106","Climate Change: A Horizon Guide","Horizon"
"3030055","5243591","2021-06-19T04:00:00.000Z","0","111","Horizon Special: The Vaccine","Horizon"
"1881","2656","2021-06-13T19:59:06.000Z","1","7","Newlyweds Decorate","Newlyweds: Nick and Jessica"
"1887","2662","2021-06-12T19:54:14.000Z","2","3","The Newlyweds Shop","Newlyweds: Nick and Jessica"
"1886","2661","2021-06-12T12:10:24.000Z","2","2","Nick's 30th B-Day","Newlyweds: Nick and Jessica"
"2917060","5142544","2021-06-12T04:49:40.000Z","5","12","Finale","The Masked Singer"
"2917060","5142544","2021-06-11T20:36:46.000Z","5","12","Finale","The Masked Singer"
"2917059","5137479","2021-06-11T19:51:17.000Z","5","11","Semifinals","The Masked Singer"
"2905307","5137478","2021-06-11T16:11:21.000Z","5","10","The Quarter Finals: Five Fan Favorites","The Masked Singer"
"2874156","5913749","2021-06-11T15:38:38.000Z","5","8","The Sing-A-Long: The Maskie Awards","The Masked Singer"
"2879028","5090698","2021-06-11T15:38:38.000Z","5","9","The Spicy 6: The Competition Heats Up!","The Masked Singer"
"2874154","5016355","2021-06-11T15:23:45.000Z","5","7","Super 8: The Plot Chickens","The Masked Singer"
"2821528","4968296","2021-06-11T13:17:24.000Z","5","6","Group A Finals: In the Nick of Time!","The Masked Singer"
"2814642","4918932","2021-06-11T12:15:03.000Z","5","5","Group B Finals: The Ulti 'Mutt' Wildcard!","The Masked Singer"
"2798595","4900988","2021-06-11T05:01:30.000Z","5","4","Group B Wildcard Round: Rule of Claw!","The Masked Singer"
"2772891","4879702","2021-06-11T04:12:01.000Z","5","3","Group A Wildcard Round: Enter The Wildcards","The Masked Singer"
"2760944","4868218","2021-06-09T19:03:08.000Z","5","2","Group B Premiere: Shamrock and Roll","The Masked Singer"
"2718214","4833680","2021-06-08T20:45:39.000Z","5","1","Season 5 Premiere: Return of the Masks","The Masked Singer"
"2551914","5913747","2021-06-08T15:00:44.000Z","4","11","The Holiday Sing-a-Long","The Masked Singer"
"2551917","4622541","2021-06-08T15:00:44.000Z","4","13","The Season 4 Finale  Last Mask Standing","The Masked Singer"
"2551915","4622540","2021-06-08T15:00:44.000Z","4","12","Road to the Finals","The Masked Singer"
"2551917","4622541","2021-06-08T14:54:08.000Z","4","13","The Season 4 Finale  Last Mask Standing","The Masked Singer"
"2507810","4622539","2021-06-08T13:06:26.000Z","4","10","The Semi Finals: The Super Six","The Masked Singer"
"2507809","4575965","2021-06-08T11:30:08.000Z","4","9","The Group C Finals: The Masks Give Thanks","The Masked Singer"
"2507808","4564352","2021-06-07T20:00:23.000Z","4","8","The Group B Finals: The Mask Chance Saloon","The Masked Singer"
"2480802","4547938","2021-06-06T21:40:20.000Z","4","7","The Group A Finals -- The Masked Frontier","The Masked Singer"
"2480801","4541258","2021-06-06T14:56:52.000Z","4","6","The Group C Play Offs -- Funny You Should Mask","The Masked Singer"
"2480800","4506286","2021-06-06T14:37:45.000Z","4","5","The Group C Premiere -- Masked But Not Least","The Masked Singer"
"2480800","4506286","2021-06-06T13:31:30.000Z","4","5","The Group C Premiere -- Masked But Not Least","The Masked Singer"
"2449755","4478625","2021-06-05T19:27:37.000Z","4","4","The Group B Play Offs -- Cloudy With a Chance of Clues","The Masked Singer"
"1983126","3941401","2021-06-04T20:54:29.000Z","3","5","Mask-Matics: Group B Playoffs","The Masked Singer"
"1983125","3941400","2021-06-04T20:33:41.000Z","3","4","A Brand New Six Pack: Group B Kickoff!","The Masked Singer"
"2449754","4456974","2021-06-04T20:27:44.000Z","4","3","The Group A Play Offs - Famous Masked Words","The Masked Singer"
"2449605","4450044","2021-06-03T19:55:15.000Z","4","2","The Group B Premiere -- Six More Masks","The Masked Singer"
"1916903","3942543","2021-06-03T09:36:49.000Z","3","4","Working With Light","MasterClass"
"2403822","4405388","2021-06-02T20:11:43.000Z","4","1","The Season Premiere -- The Masks Return","The Masked Singer"
"2252066","4156879","2021-06-01T22:06:50.000Z","3","22","Couldn't Mask For Anything More: The Grand Finale!","The Masked Singer"
"2253826","7470762","2021-06-01T22:06:38.000Z","3","18","After the Mask: A Quarter Mask Crisis: The Quarter Finals","The Masked Singer"
"2252066","4156879","2021-06-01T22:06:38.000Z","3","22","Couldn't Mask For Anything More: The Grand Finale!","The Masked Singer"
"2253823","7470761","2021-06-01T20:14:01.000Z","3","16","After the Mask: The Battle of the Sixes: The Final 6","The Masked Singer"
"2252065","4144205","2021-06-01T20:14:01.000Z","3","21","Road to the Finals","The Masked Singer"
"2246463","4132037","2021-06-01T16:43:32.000Z","3","19","A Day in the Mask: The Semi Finals","The Masked Singer"
"2202427","4041128","2021-06-01T14:45:01.000Z","3","12","Sing-Along Spectacular","The Masked Singer"
"2217030","4083733","2021-06-01T14:45:01.000Z","3","13","The Mother of All Final Face Offs, Part 2","The Masked Singer"
"2253820","7470760","2021-06-01T12:58:47.000Z","3","14","After the Mask: The Mother of All Final Face Offs, Part 2","The Masked Singer"
"2238154","4132036","2021-06-01T12:58:47.000Z","3","17","A Quarter Mask Crisis: The Quarter Finals","The Masked Singer"
"2230364","4097606","2021-06-01T11:00:29.000Z","3","15","The Battle of the Sixes: The Final 6","The Masked Singer"
"2194645","4061955","2021-06-01T06:56:47.000Z","3","11","The Mother Of All Final Face Offs, Part 1","The Masked Singer"
"2181864","4037083","2021-05-31T19:22:01.000Z","3","10","The Super Nine Masked Singer Special: Groups A, B & C","The Masked Singer"
"2944463","5155036","2021-05-30T20:04:33.000Z","5","16","The Adirondacks","This Is Us"
"2181077","4035914","2021-05-30T17:42:02.000Z","3","9","Old Friends, New Clues: Group C Championships","The Masked Singer"
"2175387","4024456","2021-05-30T17:41:58.000Z","3","8","It Never Hurts to Mask: Group C Playoffs","The Masked Singer"
"2168302","4008542","2021-05-30T17:41:54.000Z","3","7","Last But Not Least: Group C Kickoff!","The Masked Singer"
"2161032","3997149","2021-05-30T17:41:51.000Z","3","6","Friends in High Places: Group B Championships","The Masked Singer"
"1983124","3941399","2021-05-30T15:35:11.000Z","3","3","Masking For A Friend: Group A","The Masked Singer"
"1971367","3556769","2021-05-30T12:20:06.000Z","3","2","The Playoffs: Group A","The Masked Singer"
"1971362","3556767","2021-05-30T11:03:49.000Z","3","1","The Season Kick off Mask Off: Group A","The Masked Singer"
"2001938","3850443","2021-05-30T06:56:29.000Z","2","13","Season Finale: And The Winner Takes It All and Takes It Off","The Masked Singer"
"1717327","3297842","2021-05-30T06:25:50.000Z","1","9","Road to the Finals","The Masked Singer"
"1983123","3816196","2021-05-30T06:25:40.000Z","2","12","Road to the Finals","The Masked Singer"
"2001938","3850443","2021-05-29T22:47:42.000Z","2","13","Season Finale: And The Winner Takes It All and Takes It Off","The Masked Singer"
"1983122","3816195","2021-05-29T21:28:45.000Z","2","11","Two Masks Take It Off: Holiday Semi-Finals","The Masked Singer"
"1983121","3816194","2021-05-29T20:38:59.000Z","2","10","A Pain in the Mask","The Masked Singer"
"1983120","3816193","2021-05-29T16:47:47.000Z","2","9","Clash of the Masks","The Masked Singer"
"1971673","3790836","2021-05-29T15:42:42.000Z","2","8","Mask and You Shall Receive","The Masked Singer"
"1963607","3789659","2021-05-29T13:01:20.000Z","2","7","Triumph Over Masks","The Masked Singer"
"1954454","3789658","2021-05-29T11:45:48.000Z","2","6","Mask-ish","The Masked Singer"
"1949510","3789657","2021-05-29T10:22:42.000Z","2","5","Mask Us Anything","The Masked Singer"
"1939340","3743291","2021-05-29T09:03:29.000Z","2","4","Once Upon a Mask","The Masked Singer"
"1934365","3743290","2021-05-29T05:26:13.000Z","2","3","Return of the Masks: Group D","The Masked Singer"
"1934365","3743290","2021-05-28T21:31:58.000Z","2","3","Return of the Masks: Group D","The Masked Singer"
"1928573","3601125","2021-05-28T20:46:32.000Z","2","2","Return of the Masks: Group C","The Masked Singer"
"2928906","5150236","2021-05-27T20:02:39.000Z","5","15","Jerry 2.0","This Is Us"
"2874700","5113535","2021-05-24T13:32:02.000Z","5","14","The Music and the Mirror","This Is Us"
"85987","97992","2021-05-24T12:50:00.000Z","1","1","Pilot","Friends"
"1768815","3498110","2021-05-18T17:30:57.000Z","1","9","Grand Finale","LEGO Masters (AU)"
"1768815","3498110","2021-05-18T15:40:59.000Z","1","9","Grand Finale","LEGO Masters (AU)"
"1768813","3498107","2021-05-18T10:43:00.000Z","1","8","Time Train (Elimination)","LEGO Masters (AU)"
"1841970","3563514","2021-05-18T05:56:42.000Z","2","1","Return of the Masks: Groups A & B","The Masked Singer"
"1841970","3563514","2021-05-17T20:31:47.000Z","2","1","Return of the Masks: Groups A & B","The Masked Singer"
"1768812","3498106","2021-05-17T19:05:20.000Z","1","7","Duplicate & Classic Movie Scene (Elimination)","LEGO Masters (AU)"
"1768812","3498106","2021-05-17T13:29:50.000Z","1","7","Duplicate & Classic Movie Scene (Elimination)","LEGO Masters (AU)"
"1768811","3498097","2021-05-17T04:59:50.000Z","1","6","Evil Lair (Elimination)","LEGO Masters (AU)"
"1768810","3498096","2021-05-14T12:58:27.000Z","1","5","The Bridge","LEGO Masters (AU)"
"1740337","3297844","2021-05-13T21:15:56.000Z","1","10","Season Finale: The Final Mask is Lifted","The Masked Singer"
"1706863","3297840","2021-05-13T19:46:55.000Z","1","8","Semi Finals: Double Unmasking","The Masked Singer"
"1698834","3297831","2021-05-13T18:27:30.000Z","1","7","All Together Now","The Masked Singer"
"1690104","3297829","2021-05-13T15:52:23.000Z","1","6","Touchy Feely Clues","The Masked Singer"
"1690059","3297827","2021-05-13T13:22:50.000Z","1","5","Mix and Masks","The Masked Singer"
"1673027","3297824","2021-05-13T05:51:35.000Z","1","4","Another Mask Bites the Dust","The Masked Singer"
"1768794","3498095","2021-05-12T20:04:46.000Z","1","4","Break & Make and the Apartment (Elimination)","LEGO Masters (AU)"
"1768793","3498094","2021-05-12T15:32:08.000Z","1","3","Cut in Half (Elimination)","LEGO Masters (AU)"
"1768792","3498093","2021-05-12T08:00:40.000Z","1","2","Blockbusters","LEGO Masters (AU)"
"1658333","3297823","2021-05-11T20:14:48.000Z","1","3","Five Masks No More","The Masked Singer"
"1658332","3297820","2021-05-11T19:14:55.000Z","1","2","New Masks on the Block","The Masked Singer"
"1768791","3498092","2021-05-11T13:29:15.000Z","1","1","Mega City","LEGO Masters (AU)"
"1639733","3210446","2021-05-11T07:10:47.000Z","1","1","Season Premiere: Mask On Face Off","The Masked Singer"
"2184226","3964254","2021-05-10T12:48:18.000Z","1","10","Finals","LEGO Masters"
"2184225","3964253","2021-05-10T11:14:24.000Z","1","9","Star Wars","LEGO Masters"
"2181075","3964251","2021-05-10T06:23:00.000Z","1","8","Good Vs. Evil","LEGO Masters"
"2175367","3964250","2021-05-10T04:54:00.000Z","1","7","Storybook","LEGO Masters"
"2168299","3964249","2021-05-09T21:45:24.000Z","1","6","Need for Speed / Super-Bridges","LEGO Masters"
"2160968","3964248","2021-05-09T20:54:47.000Z","1","5","Mega City Block","LEGO Masters"
"2071744","3964247","2021-05-09T18:34:20.000Z","1","4","Movie Genres","LEGO Masters"
"2071744","3964247","2021-05-09T17:17:39.000Z","1","4","Movie Genres","LEGO Masters"
"2066071","3964246","2021-05-09T09:28:40.000Z","1","3","Cut in Half","LEGO Masters"
"2066070","3964245","2021-05-08T19:17:00.000Z","1","2","Space Smash","LEGO Masters"
"971787","903802","2021-05-08T17:39:12.000Z","1","5","Episode 5","The Bridge"
"971786","903801","2021-05-08T11:26:28.000Z","1","4","Episode 4","The Bridge"
"971785","903800","2021-05-07T23:01:38.000Z","1","3","Episode 3","The Bridge"
"1940829","3789846","2021-05-07T06:22:18.000Z","1","1","Dream Park Theme Park","LEGO Masters"
"971784","903799","2021-05-07T04:39:17.000Z","1","2","Episode 2","The Bridge"
"971784","903799","2021-05-06T21:05:40.000Z","1","2","Episode 2","The Bridge"
"971783","903798","2021-05-05T18:39:39.000Z","1","1","Episode 1","The Bridge"
"2881456","5119994","2021-04-28T15:43:27.000Z","12","22","Jiggy Puzzles, The Scrubbie, The Bumbling Bee, XTorch","Shark Tank"
"2874167","5114765","2021-04-27T20:36:27.000Z","12","21","Truffle Shuffle, Suds2Go, Salad Sling, Larq","Shark Tank"
"2860694","5091214","2021-04-26T05:41:58.000Z","12","20","OpulenceMD Beauty, The Cheese Chopper, The Matte, Furzapper","Shark Tank"
"2817970","4931483","2021-04-24T10:31:20.000Z","12","19","StepNPull, DynoSafe, Probiotic Maker, Phoozy","Shark Tank"
"2860694","5091214","2021-04-23T21:00:58.000Z","12","20","OpulenceMD Beauty, The Cheese Chopper, The Matte, Furzapper","Shark Tank"
"2817970","4931483","2021-04-23T20:16:31.000Z","12","19","StepNPull, DynoSafe, Probiotic Maker, Phoozy","Shark Tank"
"63164","73747","2021-04-21T21:17:43.000Z","4","21","The Smelly Car","Seinfeld"
"86558","98099","2021-04-19T22:25:10.000Z","5","11","The One with All the Resolutions","Friends"
"1118233","1585856","2021-04-18T15:40:28.000Z","14","1","North Wales: The Clifftop House","Grand Designs"
"63202","73785","2021-04-18T05:18:19.000Z","6","13","The Scofflaw","Seinfeld"
"2857503","5083276","2021-04-16T05:09:06.000Z","5","13","Brotherly Love","This Is Us"
"2489341","4562500","2021-04-12T21:11:46.000Z","3","2","Episode 2","The Shop: Uninterrupted"
"1200294","1203409","2021-04-12T11:14:40.000Z","1","1","Car Cash","The Profit"
"1678326","4835363","2021-04-11T13:36:27.000Z","0","105","Sex: A Horizon Guide","Horizon"
"2842332","5033761","2021-04-10T13:02:05.000Z","5","12","Both Things Can Be True","This Is Us"
"86544","98095","2021-04-10T10:51:14.000Z","5","7","The One Where Ross Moves In","Friends"
"2803031","4917004","2021-04-09T19:44:29.000Z","12","18","NuMilk, Hairy Grabster, Mad Rabbit, Bunch Bikes","Shark Tank"
"86453","98066","2021-04-08T22:00:23.000Z","4","2","The One with the Cat","Friends"
"2791955","4902940","2021-04-08T19:55:40.000Z","12","17","Misfit Foods, Chill Systems, Tandem Boogie, Totes Babies","Shark Tank"
"86134","98030","2021-04-07T22:18:04.000Z","2","15","The One Where Ross and Rachel... You Know","Friends"
"4537938","98028","2021-04-07T22:18:04.000Z","2","13","The One After the Super Bowl (2)","Friends"
"2741620","4839427","2021-04-05T18:51:33.000Z","12","16","Simply Good Jars, Pinch Me Therapy Dough, Muff Waders, BusyBaby Mat","Shark Tank"
"","4846925","2021-04-04T21:34:47.000Z","106","6","Working With Thoughts While Meditating","MasterClass"
"","4846923","2021-04-04T21:12:54.000Z","106","5","Guided Meditation: Dropping In","MasterClass"
"","4846962","2021-04-04T20:38:22.000Z","106","16","Mindful Hatha Yoga","MasterClass"
"","4846922","2021-04-04T20:29:45.000Z","106","4","A Guide to Meditation","MasterClass"
"","4846921","2021-04-04T20:13:21.000Z","106","3","Attitudinal Foundations of Mindfulness","MasterClass"
"","4846920","2021-04-03T20:20:59.000Z","106","2","A Guide to Mindfulness","MasterClass"
"1682749","3274129","2021-04-01T20:03:48.000Z","1","4","Burn Bundy Burn","Conversations with a Killer: The Ted Bundy Tapes"
"2727434","4814414","2021-04-01T18:38:01.000Z","12","15","Better Bedder, Everything Legendary, Walkee Paws, Hopscotch","Shark Tank"
"1682748","3274120","2021-04-01T13:16:52.000Z","1","3","Not My Turn to Watch Him","Conversations with a Killer: The Ted Bundy Tapes"
"1682747","3274116","2021-04-01T04:58:36.000Z","1","2","One of Us","Conversations with a Killer: The Ted Bundy Tapes"
"1671989","3274108","2021-03-30T19:38:14.000Z","1","1","Handsome Devil","Conversations with a Killer: The Ted Bundy Tapes"
"","3942766","2021-03-30T09:15:07.000Z","11","6","Method: Knife Skills","MasterClass"
"2727433","4814413","2021-03-26T19:57:14.000Z","12","14","Pashion Footwear, Souper Cubes, Byoot Company, Sienna Sauce","Shark Tank"
"2726834","4813676","2021-03-26T19:05:45.000Z","12","13","Jax Sheets, The Pizza Cupcake, IceBeanie, Draft Top","Shark Tank"
"86097","98029","2021-03-26T17:14:37.000Z","2","14","The One with the Prom Video","Friends"
"86132","98027","2021-03-26T16:44:20.000Z","2","12","The One After the Super Bowl (1)","Friends"
"86102","98026","2021-03-26T16:17:49.000Z","2","11","The One with the Lesbian Wedding","Friends"
"2796528","4889465","2021-03-25T20:08:15.000Z","5","11","One Small Step...","This Is Us"
"","3945794","2021-03-25T13:04:00.000Z","73","14","1-Minute Makeup","MasterClass"
"","4461155","2021-03-25T09:25:54.000Z","91","12","Owning It","MasterClass"
"","4461154","2021-03-25T09:16:55.000Z","91","11","Staying Current","MasterClass"
"86230","98024","2021-03-24T19:31:11.000Z","2","9","The One with Phoebe's Dad","Friends"
"86118","98016","2021-03-24T18:59:13.000Z","2","1","The One with Ross's New Girlfriend","Friends"
"86129","98022","2021-03-24T18:58:56.000Z","2","7","The One Where Ross Finds Out","Friends"
"86098","98023","2021-03-24T18:58:53.000Z","2","8","The One with the List","Friends"
"","4461153","2021-03-24T13:33:25.000Z","91","10","Behind The Scenes of Queer Eye","MasterClass"
"","4461152","2021-03-24T13:22:29.000Z","91","9","How to Shop","MasterClass"
"1916766","3939026","2021-03-23T20:30:35.000Z","1","1","Introduction","MasterClass"
"","4461151","2021-03-23T14:00:50.000Z","91","8","Playing With Prints and Textures","MasterClass"
"","4461150","2021-03-23T13:49:55.000Z","91","7","Incorporating Color","MasterClass"
"","4461148","2021-03-23T11:49:43.000Z","91","5","Developing Your Personal Style","MasterClass"
"","4461147","2021-03-23T11:33:59.000Z","91","4","Creating Looks From Your Capsule Wardrobe","MasterClass"
"","4461146","2021-03-23T11:24:13.000Z","91","3","Capsule Wardrobe","MasterClass"
"","4461145","2021-03-23T10:32:28.000Z","91","2","The Rules of Great Style","MasterClass"
"","4461144","2021-03-23T10:17:37.000Z","91","1","Meet Your Instructor","MasterClass"
"86120","98020","2021-03-22T22:52:14.000Z","2","5","The One with Five Steaks and an Eggplant","Friends"
"86113","98017","2021-03-21T21:42:06.000Z","2","2","The One with the Breast Milk","Friends"
"1479034","2983113","2021-03-20T20:52:16.000Z","1","4","Part 4: The Confessions","Evil Genius"
"1479033","2983112","2021-03-20T16:24:00.000Z","1","3","Part 3: The Suspects","Evil Genius"
"1479032","2983111","2021-03-20T14:44:32.000Z","1","2","Part 2: The Frozen Body","Evil Genius"
"1479031","2982258","2021-03-20T12:31:17.000Z","1","1","Part 1: The Heist","Evil Genius"
"2641202","4832196","2021-03-20T06:03:59.000Z","5","10","I've Got This","This Is Us"
"","4461149","2021-03-19T14:02:20.000Z","91","6","The Right Fit","MasterClass"
"1502398","3029055","2021-03-19T08:35:16.000Z","1","13","Flawed Justice","The Staircase"
"1502397","3029054","2021-03-19T06:03:57.000Z","1","12","Between Anger and Despair","The Staircase"
"1502396","3029053","2021-03-18T21:32:10.000Z","1","11","Looking for Closure","The Staircase"
"1157682","3029052","2021-03-18T20:08:42.000Z","1","10","The Last Chance","The Staircase"
"595521","603898","2021-03-18T13:59:17.000Z","1","9","Reopening The Case","The Staircase"
"595520","603897","2021-03-18T09:49:49.000Z","1","8","The Verdict","The Staircase"
"595519","603896","2021-03-18T05:50:08.000Z","1","7","The Blow Poke Returns","The Staircase"
"595518","603895","2021-03-18T04:57:59.000Z","1","6","The Prosecution's Revenge","The Staircase"
"595517","603894","2021-03-17T20:32:06.000Z","1","5","A Weak Case","The Staircase"
"595516","603893","2021-03-17T13:07:16.000Z","1","4","A Prosecution Trickery","The Staircase"
"595515","603892","2021-03-17T11:43:00.000Z","1","3","A Striking Coincidence","The Staircase"
"595514","603891","2021-03-17T10:48:16.000Z","1","2","Secrets and Lies","The Staircase"
"595513","603890","2021-03-16T22:24:16.000Z","1","1","Crime or Accident?","The Staircase"
"2712028","4792260","2021-03-15T21:35:22.000Z","12","12","Rule Breaker, MountainFlow Eco-Wax, Yono Clip, NightCap","Shark Tank"
"1318553","2568921","2021-03-15T05:19:38.000Z","1","7","The Conclusion","The Keepers"
"1318552","2568919","2021-03-14T22:10:38.000Z","1","6","The Web","The Keepers"
"1318551","2568917","2021-03-14T18:30:14.000Z","1","5","The Suspects","The Keepers"
"2641264","4700434","2021-03-14T15:25:45.000Z","12","11","Quevos, Brumachen, Aura Bora, Swipensnap","Shark Tank"
"1318550","2568914","2021-03-14T14:17:56.000Z","1","4","The Burial","The Keepers"
"1318549","2566297","2021-03-13T21:17:18.000Z","1","3","The Revelation","The Keepers"
"1318548","2566296","2021-03-13T16:10:03.000Z","1","2","The School","The Keepers"
"1318547","2558033","2021-03-13T13:35:22.000Z","1","1","The Murder","The Keepers"
"2641263","4663162","2021-03-12T21:17:18.000Z","12","10","Slice of Sauce, Love is Project, Luna Magic, Bubbly Blaster","Shark Tank"
"2554577","4608661","2021-03-12T14:26:54.000Z","12","8","Peekabo, Brake Free Technologies, Click & Carry, Pillar Learning","Shark Tank"
"2544611","4597503","2021-03-12T10:57:00.000Z","12","7","Holiball, Katamco, ODR Skis, Buckle Me Baby Coats","Shark Tank"
"2519180","4572457","2021-03-11T12:00:19.000Z","12","6","Pan's, K9 Mask®, Moment, Prime 6","Shark Tank"
"2272839","4134043","2021-03-10T20:19:37.000Z","11","24","Dreamland Baby, The Mad Optimist, RollinGreens, Yellow Leaf Hammocks","Shark Tank"
"2271002","4134046","2021-03-04T13:27:43.000Z","11","23","mcSquares, Rescue Ready, Slate, Salted","Shark Tank"
"2263448","4122534","2021-03-03T18:17:42.000Z","11","22","Tough Tie, Lord von Schmitt, DadWare, Potty Safe","Shark Tank"
"2260180","4110639","2021-03-02T20:35:52.000Z","11","21","UnbuckleMe, Tanoshi, PROVEN Skincare, ABii","Shark Tank"
"2624718","4829751","2021-02-26T17:26:22.000Z","5","9","The Ride","This Is Us"
"2663311","4839581","2021-02-26T07:06:43.000Z","1","2","Episode 2","Cases of Inspector Vrenko"
"2663294","4839580","2021-02-26T07:06:43.000Z","1","1","Episode 1","Cases of Inspector Vrenko"
"2845531","5033697","2021-02-26T07:06:43.000Z","1","6","Episode 6","Cases of Inspector Vrenko"
"2845529","5033695","2021-02-26T07:06:43.000Z","1","5","Episode 5","Cases of Inspector Vrenko"
"2845528","5033693","2021-02-26T07:06:43.000Z","1","4","Episode 4","Cases of Inspector Vrenko"
"2845525","5033691","2021-02-26T07:06:43.000Z","1","3","Episode 3","Cases of Inspector Vrenko"
"2583774","4659364","2021-02-25T23:57:29.000Z","1","1","Volcano","A Perfect Planet"
"2231599","4101082","2021-02-25T21:38:45.000Z","11","20","Fried Green Tomatoes, Little Burros, JiggAerobics, Mural Painter Inc.","Shark Tank"
"2219826","4063581","2021-02-24T19:30:00.000Z","11","19","Just The Cheese, Neuro, Seriously Slime, First Saturday Lime","Shark Tank"
"2211196","4062041","2021-02-24T18:35:10.000Z","11","18","Muvez, PrepWell, Beddley, Bad Birdie","Shark Tank"
"2203745","4045705","2021-02-24T16:38:03.000Z","11","17","Pasta by Hudson, Goumi, Critter Pricker, The Frozen Farmer","Shark Tank"
"2196968","4032806","2021-02-23T20:49:52.000Z","11","16","Boho Camper Vans, Bohana Popped Water Lily Seeds, Grouphug, Safety Nailer","Shark Tank"
"2188979","4032804","2021-02-23T19:57:53.000Z","11","15","Space Traveler, Swimply, Bertello, KidsLuv","Shark Tank"
"2182703","4011634","2021-02-22T19:43:33.000Z","11","14","Bite Eco-Friendly Toothpaste, BabyQuip, Coconut Girl, Pair Eyewear","Shark Tank"
"2176777","3934838","2021-02-21T20:17:17.000Z","11","13","Pips & Bounce, Shake It Pup, Bala Bangles, Fur Oil","Shark Tank"
"2056393","3919478","2021-02-21T19:24:19.000Z","11","12","Genius Juice, Rapid Rope, Ready Set Food!, Ka-Pop","Shark Tank"
"2638720","4708927","2021-02-21T15:51:55.000Z","5","8","In the Room","This Is Us"
"2624719","4685415","2021-02-21T14:53:27.000Z","5","7","There","This Is Us"
"","4708082","2021-02-21T11:39:18.000Z","0","1","Catching the Gameshow Killer","The Pembrokeshire Murders"
"2039276","3907343","2021-02-17T20:18:34.000Z","11","11","Wise Pocket Products, Kreyol Essence, LoveSync, Wanna Date","Shark Tank"
"2633397","4003412","2021-02-17T19:17:19.000Z","1","3","Episode 3","The Pembrokeshire Murders"
"2633396","4003407","2021-02-17T14:58:23.000Z","1","2","Episode 2","The Pembrokeshire Murders"
"2633395","4003404","2021-02-17T11:56:26.000Z","1","1","Episode 1","The Pembrokeshire Murders"
"2563148","4601165","2021-02-16T19:29:12.000Z","1","4","Out of the Shadows","The Ripper"
"2563147","4601163","2021-02-16T12:58:26.000Z","1","3","Reclaim the Night","The Ripper"
"2563146","4601161","2021-02-15T19:57:35.000Z","1","2","Between Now and Dawn","The Ripper"
"2039275","3876290","2021-02-14T21:24:09.000Z","11","10","SlumberPod, Fortress Clothing, Zuum Technologies, FlexScreen","Shark Tank"
"1985025","3811242","2021-02-14T20:24:33.000Z","11","9","Episode 9","Shark Tank"
"2515858","4598530","2021-02-14T05:59:20.000Z","1","1","Once Upon a Time in Yorkshire","The Ripper"
"1966330","3781976","2021-02-13T20:23:57.000Z","11","8","Episode 8","Shark Tank"
"2638982","4649144","2021-02-13T06:17:13.000Z","1","4","Manhunt","Night Stalker: The Hunt For a Serial Killer"
"2638981","4649143","2021-02-12T17:25:10.000Z","1","3","Lock.  Your.  Doors.","Night Stalker: The Hunt For a Serial Killer"
"2638980","4649142","2021-02-11T22:35:24.000Z","1","2","Anyone Could Be Next","Night Stalker: The Hunt For a Serial Killer"
"2561902","4646002","2021-02-10T22:45:33.000Z","1","1","Devil in the City of Angels","Night Stalker: The Hunt For a Serial Killer"
"2663294","4839580","2021-02-09T18:50:46.000Z","1","1","Episode 1","Cases of Inspector Vrenko"
"2663311","4839581","2021-02-09T18:50:46.000Z","1","2","Episode 2","Cases of Inspector Vrenko"
